iter	Passed	Remaining
408	4701	6793
409	4712	6781
410	4723	6769
411	4735	6758
412	4746	6746
413	4758	6735
414	4770	6724
415	4782	6713
416	4794	6703
417	4805	6691
418	4814	6676
419	4824	6662
420	4835	6649
421	4847	6639
422	4857	6625
423	4868	6613
424	4877	6599
425	4889	6587
426	4901	6576
427	4912	6565
428	4924	6554
429	4935	6542
430	4949	6533
431	4959	6520
432	4971	6509
433	4982	6498
434	4993	6485
435	5005	6475
436	5016	6462
437	5025	6448
438	5036	6435
439	5046	6423
440	5058	6411
441	5069	6400
442	5081	6388
443	5093	6378
444	5102	6364
445	5113	6352
446	5125	6341
447	5136	6329
448	5146	6315
449	5158	6305
450	5169	6293
451	5179	6280
452	5192	6269
453	5203	6257
454	5212	6242
455	5221	6229
456	5232	6217
457	5244	6205
458	5256	6195
459	5267	6183
460	5276	6169
461	5287	6156
462	5298	6145
463	5309	6133
464	5321	6122
465	5332	6110
466	5344	6099
467	5355	6087
468	5366	6076
469	5378	6065
470	5390	6054
471	5403	6044
472	5414	6032
473	5427	6022
474	5438	6011
475	5449	5999
476	5461	5987
477	5472	5976
478	5484	5964
479	5495	5953
480	5506	5941
481	5518	5930
482	5527	5916
483	5539	5905
484	5551	5894
485	5560	5880
486	5571	5869
487	5582	5857
488	5593	5845
489	5605	5833
490	5614	5820
491	5626	5809
492	5637	5797
493	5649	5786
494	5661	5775
495	5670	5762
496	5681	5750
497	5690	5736
498	5702	5724
499	5713	5713
500	5725	5702
501	5736	5690
502	5746	5678
503	5759	5667
504	5770	5656
505	5782	5645
506	5793	5633
507	5805	5622
508	5817	5612
509	5828	5599
510	5840	5589
511	5850	5576
512	5861	5564
513	5872	5552
514	5884	5541
515	5895	5530
516	5907	5519
517	5919	5507
518	5931	5497
519	5943	5486
520	5954	5474
521	5966	5463
522	5977	5452
523	5988	5440
524	5998	5427
525	6007	5413
526	6018	5402
527	6029	5390
528	6038	5376
529	6049	5364
530	6058	5350
531	6069	5339
532	6081	5328
533	6093	5317
534	6105	5306
535	6115	5294
536	6126	5282
537	6137	5270
538	6148	5259
539	6157	5245
540	6169	5234
541	6180	5222
542	6190	5210
543	6203	5200
544	6213	5187
545	6224	5175
546	6235	5164
547	6245	5151
548	6256	5139
549	6266	5126
550	6276	5114
551	6288	5103
552	6299	5092
553	6310	5080
554	6322	5069
555	6333	5057
556	6344	5046
557	6354	5033
558	6366	5022
559	6378	5011
560	6389	4999
561	6402	4989
562	6413	4978
563	6424	4966
564	6435	4954
565	6446	4943
566	6458	4932
567	6470	4921
568	6483	4910
569	6495	4899
570	6506	4888
571	6517	4876
572	6529	4866
573	6542	4855
574	6553	4843
575	6565	4832
576	6577	4822
577	6588	4810
578	6599	4798
579	6609	4786
580	6620	4774
581	6632	4763
582	6644	4752
583	6654	4739
584	6663	4727
585	6676	4716
586	6687	4705
587	6699	4694
588	6712	4683
589	6721	4671
590	6733	4660
591	6745	4648
592	6756	4637
593	6768	4626
594	6778	4613
595	6787	4600
596	6797	4588
597	6806	4575
598	6818	4564
599	6829	4552
600	6840	4541
601	6850	4529
602	6862	4517
603	6873	4506
604	6884	4494
605	6896	4483
606	6908	4472
607	6920	4462
608	6932	4450
609	6943	4439
610	6956	4428
611	6967	4417
612	6979	4406
613	6990	4394
614	7001	4383
615	7012	4371
616	7024	4360
617	7035	4349
618	7048	4338
619	7059	4326
620	7072	4316
621	7083	4304
622	7095	4293
623	7107	4282
624	7119	4271
625	7129	4259
626	7141	4248
627	7155	4238
628	7166	4226
629	7179	4216
630	7191	4205
631	7203	4194
632	7216	4183
633	7228	4173
634	7240	4161
635	7251	4150
636	7261	4138
637	7272	4126
638	7284	4115
639	7296	4104
640	7307	4092
641	7318	4081
642	7330	4069
643	7341	4058
644	7353	4047
645	7364	4035
646	7377	4025
647	7388	4013
648	7399	4001
649	7412	3991
650	7425	3980
651	7438	3970
652	7450	3959
653	7462	3948
654	7475	3937
655	7487	3926
656	7499	3915
657	7511	3904
658	7524	3893
659	7537	3882
660	7549	3871
661	7559	3859
662	7569	3847
663	7582	3836
664	7594	3825
665	7606	3814
666	7618	3803
667	7631	3792
668	7643	3781
669	7656	3771
670	7668	3759
671	7679	3748
672	7691	3737
673	7703	3726
674	7714	3714
675	7727	3703
676	7739	3692
677	7752	3681
678	7765	3671
679	7778	3660
680	7790	3649
681	7801	3637
682	7813	3626
683	7825	3615
684	7837	3604
685	7849	3592
686	7862	3582
687	7876	3571
688	7888	3560
689	7901	3549
690	7913	3538
691	7925	3527
692	7937	3516
693	7948	3504
694	7961	3493
695	7973	3482
696	7986	3471
697	7995	3459
698	8004	3446
699	8017	3435
700	8029	3424
701	8041	3413
702	8051	3401
703	8060	3389
704	8072	3377
705	8082	3365
706	8094	3354
707	8106	3343
708	8117	3331
709	8129	3320
710	8138	3308
711	8151	3297
712	8161	3285
713	8174	3274
714	8185	3262
715	8197	3251
716	8208	3239
717	8220	3228
718	8232	3217
719	8242	3205
720	8255	3194
721	8266	3182
722	8278	3171
723	8290	3160
724	8300	3148
725	8314	3138
726	8327	3127
727	8336	3114
728	8348	3103
729	8357	3091
730	8370	3080
731	8381	3068
732	8392	3057
733	8404	3045
734	8417	3034
735	8429	3023
736	8440	3012
737	8452	3000
738	8464	2989
739	8475	2977
740	8486	2966
741	8497	2954
742	8509	2943
743	8521	2932
744	8532	2920
745	8544	2909
746	8555	2897
747	8567	2886
748	8576	2874
749	8587	2862
750	8598	2851
751	8609	2839
752	8619	2827
753	8631	2815
754	8642	2804
755	8651	2792
756	8663	2781
757	8673	2769
758	8684	2757
759	8696	2746
760	8707	2734
761	8719	2723
762	8729	2711
763	8739	2699
764	8751	2688
765	8762	2676
766	8773	2665
767	8784	2653
768	8797	2642
769	8807	2630
770	8818	2619
771	8829	2607
772	8841	2596
773	8852	2584
774	8864	2573
775	8876	2562
776	8889	2551
777	8899	2539
778	8910	2527
779	8922	2516
780	8932	2504
781	8946	2493
782	8957	2482
783	8968	2470
784	8980	2459
785	8991	2448
786	9001	2436
787	9012	2424
788	9024	2413
789	9035	2401
790	9046	2390
791	9058	2378
792	9069	2367
793	9079	2355
794	9090	2344
795	9100	2332
796	9111	2320
797	9125	2309
798	9136	2298
799	9148	2287
800	9160	2275
801	9172	2264
802	9182	2252
803	9195	2241
804	9207	2230
805	9219	2219
806	9231	2207
807	9243	2196
808	9253	2184
809	9263	2172
810	9275	2161
811	9287	2150
812	9299	2138
813	9310	2127
814	9320	2115
815	9331	2104
816	9342	2092
817	9353	2081
818	9364	2069
819	9376	2058
820	9388	2046
821	9399	2035
822	9410	2023
823	9421	2012
824	9432	2000
825	9446	1989
826	9457	1978
827	9468	1966
828	9479	1955
829	9488	1943
830	9500	1932
831	9511	1920
832	9523	1909
833	9533	1897
834	9545	1886
835	9557	1874
836	9569	1863
837	9580	1852
838	9592	1840
839	9603	1829
840	9614	1817
841	9624	1806
842	9636	1794
843	9647	1783
844	9658	1771
845	9669	1760
846	9680	1748
847	9692	1737
848	9704	1725
849	9712	1713
850	9723	1702
851	9734	1691
852	9745	1679
853	9756	1667
854	9768	1656
855	9777	1644
856	9789	1633
857	9801	1622
858	9812	1610
859	9823	1599
860	9835	1587
861	9845	1576
862	9857	1564
863	9866	1553
864	9876	1541
865	9886	1529
866	9897	1518
867	9908	1506
868	9921	1495
869	9934	1484
870	9945	1473
871	9956	1461
872	9968	1450
873	9979	1438
874	9990	1427
875	10001	1415
876	10011	1404
877	10023	1392
878	10034	1381
879	10045	1369
880	10056	1358
881	10067	1346
882	10078	1335
883	10089	1323
884	10101	1312
885	10113	1301
886	10123	1289
887	10135	1278
888	10146	1266
889	10157	1255
890	10169	1244
891	10181	1232
892	10193	1221
893	10202	1209
894	10213	1198
895	10224	1186
896	10236	1175
897	10247	1163
898	10259	1152
899	10268	1140
900	10280	1129
901	10291	1118
902	10302	1106
903	10314	1095
904	10325	1083
905	10336	1072
906	10345	1060
907	10356	1049
908	10366	1037
909	10375	1026
910	10385	1014
911	10397	1003
912	10407	991
913	10418	980
914	10429	968
915	10438	957
916	10451	946
917	10461	934
918	10472	923
919	10485	911
920	10496	900
921	10507	888
922	10518	877
923	10527	865
924	10538	854
925	10549	843
926	10559	831
927	10570	820
928	10582	808
929	10591	797
930	10602	785
931	10612	774
932	10623	762
933	10634	751
934	10645	740
935	10657	728
936	10668	717
937	10680	705
938	10692	694
939	10702	683
940	10714	671
941	10726	660
942	10737	649
943	10748	637
944	10760	626
945	10771	614
946	10782	603
947	10795	592
948	10805	580
949	10816	569
950	10828	557
951	10839	546
952	10849	535
953	10859	523
954	10869	512
955	10879	500
956	10890	489
