iter	CrossEntropy
0	0.01897195339
1	0.01523146067
2	0.0148526892
3	0.01484913013
4	0.01438811835
5	0.01422472893
6	0.01418898449
7	0.01415819667
8	0.01400747378
9	0.0139829738
10	0.01395688374
11	0.01386132023
12	0.01378890724
13	0.01376182135
14	0.01374898827
15	0.01373987492
16	0.01369494414
17	0.01367673285
18	0.01352930912
19	0.01349970569
20	0.01349940087
21	0.01349899625
22	0.01349894828
23	0.01349130517
24	0.01348807598
25	0.01348141437
26	0.01344150695
27	0.01332242343
28	0.01329835919
29	0.01326024205
30	0.01326022492
31	0.01325129469
32	0.01323031249
33	0.01323027802
34	0.01322486606
35	0.01314715185
36	0.01314319235
37	0.01314315647
38	0.01314307299
39	0.01314146896
40	0.01309417458
41	0.01307081206
42	0.01304610748
43	0.013021586
44	0.01294333485
45	0.01294262631
46	0.01293885703
47	0.01293266742
48	0.01292766107
49	0.01292435186
50	0.01292421991
51	0.01292321867
52	0.01291442764
53	0.01291161245
54	0.01289263332
55	0.01286643215
56	0.01286205322
57	0.01282700196
58	0.01281203112
59	0.01281044479
60	0.0128021336
61	0.0127946752
62	0.01278566239
63	0.01278562569
64	0.01277109475
65	0.01275949064
66	0.01275466562
67	0.01275005033
68	0.01274192494
69	0.01270402959
70	0.01269574493
71	0.01269571771
72	0.01268704483
73	0.01267377903
74	0.01267359997
75	0.01267168266
76	0.01266501145
77	0.01266501055
78	0.01265142362
79	0.01262716838
80	0.01262245204
81	0.01261897907
82	0.01260690121
83	0.01260562621
84	0.01260562454
85	0.01260373204
86	0.01259400338
87	0.01258383021
88	0.0125837929
89	0.01257937587
90	0.01257295469
91	0.01257291821
92	0.01254414612
93	0.01254409562
94	0.01254069786
95	0.01250891627
96	0.01250153352
97	0.01249894498
98	0.01249624191
99	0.01249076329
100	0.01248341739
101	0.01247398698
102	0.01247398694
103	0.01246954477
104	0.01246954372
105	0.01245440982
106	0.01245172052
107	0.01245170691
108	0.01244931175
109	0.0124426391
110	0.01243844118
111	0.01243450706
112	0.01242900507
113	0.01242898419
114	0.01242607885
115	0.0124240345
116	0.0124240183
117	0.01242267836
118	0.01241498754
119	0.01240217984
120	0.01239871252
121	0.01239511035
122	0.01239341648
123	0.01239341752
124	0.01239242717
125	0.01238855417
126	0.01238581343
127	0.01238471619
128	0.01238298192
129	0.01238088948
130	0.01238088593
131	0.01237583186
132	0.01237419804
133	0.0123741947
134	0.01237225641
135	0.01236914767
136	0.01235844349
137	0.01235843385
138	0.01235840794
139	0.01235482073
140	0.01235204913
141	0.01234470501
142	0.01234466751
143	0.01234156378
144	0.01233795604
145	0.0123379628
146	0.01233645662
147	0.0123301148
148	0.01230686302
149	0.01229797361
150	0.01229695441
151	0.01228631748
152	0.01228438219
153	0.01228198018
154	0.01228006115
155	0.01227956419
156	0.01227829323
157	0.01227728982
158	0.01227498303
159	0.01227445822
160	0.01227252617
161	0.01226711604
162	0.0122538983
163	0.0122521502
164	0.01224935151
165	0.01224622949
166	0.0122462219
167	0.01224376337
168	0.01223764122
169	0.01223309807
170	0.01222630759
171	0.0122251467
172	0.01222366181
173	0.01222191383
174	0.01222040696
175	0.01222039986
176	0.01221054788
177	0.012205709
178	0.01220405401
179	0.01220404795
180	0.01219977154
181	0.01219686843
182	0.01219456423
183	0.01219351568
184	0.01219054732
185	0.01218724503
186	0.01218359999
187	0.01218360292
188	0.01218096727
189	0.01217161888
190	0.01217161032
191	0.01217135102
192	0.01216660101
193	0.0121665866
194	0.01216156052
195	0.01216068473
196	0.012159585
197	0.01215698844
198	0.01215647826
199	0.01215114473
200	0.01214731048
201	0.01214128967
202	0.01214096028
203	0.01213880653
204	0.01213526419
205	0.01213198336
206	0.01213198296
207	0.01212647353
208	0.01211864927
209	0.01211851251
210	0.01211700583
211	0.01211635739
212	0.0121152787
213	0.01211353486
214	0.01211195857
215	0.01209995071
216	0.01209678305
217	0.0120967714
218	0.01209593758
219	0.01209477078
220	0.01208940215
221	0.01208738751
222	0.01208581538
223	0.0120854623
224	0.01208413072
225	0.01208344933
226	0.01207812113
227	0.01207637107
228	0.0120752081
229	0.01207345155
230	0.01207131886
231	0.01206839664
232	0.01206839678
233	0.01206708612
234	0.0120664763
235	0.01206459973
236	0.01206266994
237	0.01206267224
238	0.01206194448
239	0.01206152516
240	0.01206152474
241	0.01205998849
242	0.01205756948
243	0.01205439773
244	0.01205127405
245	0.0120500354
246	0.01204845969
247	0.01204656103
248	0.0120465625
249	0.01204345003
250	0.01203503506
251	0.01203501898
252	0.01202695872
253	0.01202520472
254	0.01202357726
255	0.01202357875
256	0.01202003227
257	0.01201864991
258	0.01201776418
259	0.01201428818
260	0.01201355067
261	0.01201341283
262	0.01201341311
263	0.01201215244
264	0.01200817532
265	0.0120069168
266	0.01200380084
267	0.01200301783
268	0.01200242697
269	0.01199512796
270	0.01199319927
271	0.011991935
272	0.01198894153
273	0.0119881716
274	0.01198776696
275	0.01198523166
276	0.01198453467
277	0.01198255912
278	0.01198180561
279	0.01198064817
280	0.01198064782
281	0.01197722391
282	0.01197722433
